Group,Sample ID,Sample Name,Height,Through Rad Sr Columns,Through Stable Sr Columns,rsWheel Number,rsDate,rsSample mass for analysis (600 ng Sr),87/86Sr,rsInternal Precision,,rsRep 1 Wheel #,rsRep 1 date,rsRep 1 87/86Sr,rsRep 1 internal precision,rsRep 2 Wheel #,rsRep 2 date,rsRep 2 87/86Sr,rsRep 2 internal precision,,ssSample mass for analysis,ssSpike mass for analysis,,ssWheel Number,ssDate,Stable Sr,ssInternal Precision,,ssRep 1 Wheel #,ssRep 1 date,ssrep 1 value,ssrep 1 internal precision,ssRep 2 Wheel #,ssRep 2 date,srsRep 2 88/86,ssRep 2 internal precision,,CaSample mass for analysis (g) ,Ca spike mass (g),,Wheel #,Date run on TIMS,44/40Ca,Internal Precision,,Rep 1 Wheel #,CaRep 1 date,CaRep 1 ,CaRep 1 internal precision,,Rep 2 Wheel #,CaRep 2 date,CaRep 2,CaRep 2 internal precision,,Sr mmol in rock,Ca mol in rock,Mg mol in rock,d13C,d18O,d26/24 Mg vs DSM 3,d7Li vs LSVEC,Mg (mol/mol Ca),Sr (mmol/mol Ca),Mn (mmol/mol Ca),Li (μmol/mol Ca)
HigMeasured,PCh25,,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.65,,,,,,,,,,,,,,,,0.83,-1.74,-1.67,9.73,1,0.12,1.31,1.28
HigMeasured,PCh26,,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.89,,,,,,,,,,,,,,,,0.87,-4.16,-1.5,8.27,1,0.15,1.87,1.77
HigMeasured,PCh27,,67.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78,,,,,,,,,,,,,,,,0.87,-0.49,-1.59,9.62,1.01,0.12,1.81,1.9
HigMeasured,PCh28,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.77,,,,,,,,,,,,,,,,0.96,-3.26,-1.41,7.91,1,0.13,1.92,1.7
HigMeasured,PCh29,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.85,,,,,,,,,,,,,,,,0.72,-2.57,-1.68,,1.04,0.18,2.32,1.76
HigMeasured,PCh30,,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,,,,,,,,,,,,,,,,0.63,-5.62,-1.8,8.68,1.03,0.17,1.01,1.67
HigMeasured,PCh31,,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,-4.22,-1.68,8.4,1.04,0.18,0.99,1.82
HigMeasured,PCh32,,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,0.44,-5.74,-1.8,9.52,1.02,0.24,0.45,1.69
HigMeasured,PCh33,,73.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.37,,,,,,,,,,,,,,,,0.96,-1.21,-1.88,11.31,0.99,0.32,0.48,1.4
HigMeasured,PCh34,,74.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.55,,,,,,,,,,,,,,,,1.05,-1.38,,,1.01,0.28,0.67,1.56
HigMeasured,PCh35,,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,-2.52,-1.74,,1.01,0.25,0.5,0.53
HigMeasured,PCh36,,76.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.48,,,,,,,,,,,,,,,,0.86,-2.94,-1.7,11.96,1.05,0.24,0.56,1.35
HigMeasured,PCh37,,77.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.82,,,,,,,,,,,,,,,,0.55,-6.03,-1.69,9.85,1.01,0.22,0.61,1.31
